Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2025,,,,,,,4,96,6,2,10,163
2026,130,151,11,60,28,3,82,5,1,9,14,139
2027,111,128,10,51,24,3,,,,,,
