Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2025,37166,48251,80840,63021,73853,78100,68473,68185,61139,37176,23838,27404
2026,44386,57480,73914,53249,73353,78287,69195,70287,61750,36754,22826,27610
2027,45663,59713,72630,53247,73226,78497,69946,,,,,
