Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2025,,,,,,,4338,3684,2816,2317,1933,1882
2026,1713,2402,3144,2260,3673,3961,4021,3573,2696,2348,1875,1750
2027,2003,2185,2868,2259,3385,3812,3906,,,,,
