Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2025,,,,,,,5422,6185,6293,7154,5829,6593
2026,5399,4929,6011,4355,5277,5764,5026,5999,6025,7249,5654,6130
2027,5873,4483,5483,4354,4864,5547,4882,,,,,
