Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2025,35713,47315,82937,62866,71864,73891,84802,71320,61620,55187,50414,49739
2026,46557,51807,72826,68310,80635,87429,83504,74167,64185,56418,50772,65229
2027,62680,55708,70760,64837,62608,65420,65093,,,,,
