Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2025,,,,,,,14524,14723,20445,19970,19700,19793
2026,17405,17749,19040,12061,15178,13721,13463,14281,19574,20237,19110,18405
2027,18935,16142,17368,12057,13989,13206,13078,,,,,
