Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2025,,,,,,,9006,7658,8101,8876,4775,7985
2026,5754,5660,9833,7105,15107,17664,20074,15231,8314,8860,5371,14941
2027,5979,5868,9338,6816,15964,18026,15139,,,,,
