Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2025,,,,,,,42024,33833,32523,30501,22482,25781
2026,25935,28506,41115,28063,41312,44163,38041,33456,33382,30445,22170,25807
2027,22721,26720,35779,24701,43656,45068,37111,,,,,
