Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2025,,,,,,,722,617,767,681,375,408
2026,401,773,777,611,692,794,729,636,978,673,360,411
2027,412,803,764,611,690,796,737,,,,,
