Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2025,,,,,,,15295,16991,16534,10512,7555,7671
2026,10771,17866,19467,11183,18462,16731,15456,17515,16699,11111,7234,9258
2027,11081,18560,19129,11182,18430,16776,15624,,,,,
