Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2025,,,,,,,25028,27984,26469,21341,20824,20811
2026,19493,20534,23257,19481,25456,27516,23199,27143,25341,21626,20200,19351
2027,21207,18675,21215,19474,23462,26484,22536,,,,,
