Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2025,,,,,,,8510,5545,4768,4930,2930,3586
2026,5996,6662,7660,7032,10531,12301,8600,5716,4816,4874,2806,3613
2027,6168,6921,7527,7032,10512,12334,8693,,,,,
